name,rating,price_original,price_current,discount_percent,days_until_sale,genre,reviews_count,player_trend,will_be_discounted
Doom Eternal,65.05,42.87,42.87,0.0,0.0,Horror,195544.0,stable,0
Surgeon Simulator,83.93,54.42,54.42,0.0,0.0,Survival,132937.0,falling,0
Madden NFL 24,51.71,41.32,8.26,80.0,9.0,Survival,121666.0,growing,1
Starfield,49.77,77.27,23.18,70.0,7.0,Sports,129053.0,falling,1
Left 4 Dead 2,77.92,5.42,4.34,20.0,12.0,Horror,40800.0,stable,1
Elden Ring,70.01,55.76,55.76,0.0,0.0,Indie,165497.0,growing,0
Outlast,97.03,13.53,13.53,0.0,0.0,Sports,68808.0,stable,0
Among Us,57.04,69.97,48.98,30.0,29.0,Adventure,44562.0,falling,1
Devil May Cry 5,88.85,15.23,15.23,0.0,0.0,RPG,111365.0,growing,0
Chivalry 2,48.12,48.68,48.68,0.0,0.0,Shooter,68819.0,growing,0
Cities: Skylines 2,79.14,61.55,61.55,0.0,0.0,Strategy,128929.0,stable,0
Final Fantasy VII Remake,43.45,54.64,54.64,0.0,0.0,Adventure,130873.0,falling,0
Far Cry 5,69.09,44.07,26.44,40.0,8.0,Horror,148014.0,stable,1
PUBG,82.95,31.18,31.18,0.0,0.0,Shooter,85523.0,growing,0
Halo Master Chief Collection,55.06,28.49,28.49,0.0,0.0,Racing,192985.0,stable,0
Grand Theft Auto V,46.04,27.4,27.4,0.0,0.0,Co-op,199233.0,falling,0
Oxygen Not Included,47.75,45.87,9.17,80.0,5.0,Racing,108046.0,falling,1
The Binding of Isaac,81.33,34.86,10.46,70.0,21.0,Sports,144376.0,growing,1
Black Desert Online,74.45,25.42,25.42,0.0,0.0,Horror,101167.0,stable,0
Hades,72.68,35.76,17.88,50.0,4.0,Co-op,80442.0,growing,1
Lost Ark,71.01,59.66,29.83,50.0,24.0,Puzzle,118505.0,growing,1
Planet Coaster,77.17,53.64,53.64,0.0,0.0,Fighting,66602.0,falling,0
Baldur's Gate 3,44.4,66.38,59.74,10.0,15.0,Metroidvania,147326.0,falling,1
Escape from Tarkov,96.57,44.83,17.93,60.0,5.0,Racing,33020.0,stable,1
FIFA 24,88.98,45.35,22.68,50.0,27.0,Indie,45606.0,stable,1
Lost Ark,97.07,20.43,8.17,60.0,16.0,Co-op,62487.0,falling,1
PUBG,45.22,48.85,48.85,0.0,0.0,Action,12321.0,falling,0
Far Cry 5,50.01,51.72,51.72,0.0,0.0,Metroidvania,30377.0,stable,0
Dead Cells,91.16,60.86,60.86,0.0,0.0,Puzzle,90991.0,stable,0
Left 4 Dead 2,76.58,58.06,58.06,0.0,0.0,Adventure,45675.0,stable,0
Forza Horizon 5,56.74,27.95,27.95,0.0,0.0,Indie,195317.0,falling,0
The Division 2,71.46,47.6,38.08,20.0,12.0,Survival,99438.0,falling,1
Guilty Gear Strive,74.51,19.17,11.5,40.0,20.0,Adventure,194034.0,growing,1
CyberConnect,80.84,41.25,24.75,40.0,6.0,Adventure,52648.0,stable,1
Euro Truck Simulator 2,79.9,15.59,3.12,80.0,14.0,RPG,110958.0,stable,1
Hades,76.99,13.17,7.9,40.0,9.0,Indie,4753.0,growing,1
Lethal Company,40.99,32.07,9.62,70.0,6.0,Racing,187893.0,falling,1
Mount & Blade II: Bannerlord,67.64,76.13,68.52,10.0,23.0,RPG,149960.0,stable,1
Sons of the Forest,48.71,17.89,3.58,80.0,21.0,Roguelike,88115.0,stable,1
Rust,87.62,41.09,41.09,0.0,0.0,Shooter,136937.0,stable,0
Dark Souls III,90.66,25.74,25.74,0.0,0.0,Metroidvania,81928.0,falling,0
Valheim,62.98,27.0,27.0,0.0,0.0,Action,93401.0,stable,0
Tekken 7,80.62,69.23,34.62,50.0,18.0,Roguelike,148392.0,falling,1
Slime Rancher 2,81.61,20.27,4.05,80.0,1.0,RPG,9935.0,stable,1
Valheim,62.09,31.86,31.86,0.0,0.0,Strategy,183607.0,growing,0
The Outlast Trials,62.62,44.17,44.17,0.0,0.0,RPG,118722.0,stable,0
Ori and the Blind Forest,96.98,23.3,23.3,0.0,0.0,Strategy,178146.0,growing,0
Forza Horizon 5,69.85,5.17,5.17,0.0,0.0,Indie,94635.0,growing,0
No Man's Sky,56.18,7.66,7.66,0.0,0.0,Survival,116938.0,growing,0
Hunt: Showdown,56.38,46.43,46.43,0.0,0.0,Adventure,30165.0,growing,0
Don't Starve Together,93.21,5.42,2.71,50.0,6.0,Simulation,136635.0,growing,1
Planet Zoo,86.8,50.96,40.77,20.0,4.0,Horror,133904.0,stable,1
Limbo,46.19,3.89,3.89,0.0,0.0,Survival,169626.0,stable,0
Sons of the Forest,67.96,5.85,5.85,0.0,0.0,Racing,50977.0,growing,0
Little Nightmares II,85.0,6.06,4.85,20.0,15.0,Survival,155681.0,falling,1
Dragon Ball Xenoverse 2,66.76,56.69,56.69,0.0,0.0,Simulation,119984.0,growing,0
Path of Exile,57.23,24.34,24.34,0.0,0.0,Metroidvania,55443.0,falling,0
Destiny 2,61.81,48.32,48.32,0.0,0.0,Puzzle,169293.0,growing,0
Goat Simulator 3,62.81,12.77,6.38,50.0,1.0,Metroidvania,81972.0,stable,1
Baldur's Gate 3,77.76,58.15,52.34,10.0,17.0,Puzzle,104900.0,stable,1
Hotline Miami 2,57.19,49.3,14.79,70.0,12.0,Puzzle,112899.0,stable,1
Mount & Blade II: Bannerlord,50.46,15.18,15.18,0.0,0.0,Adventure,121544.0,growing,0
Rainbow Six Siege,77.95,2.75,2.48,10.0,23.0,Horror,185702.0,growing,1
Slime Rancher,82.39,51.67,51.67,0.0,0.0,Strategy,150560.0,falling,0
Phasmophobia,40.01,32.79,13.12,60.0,8.0,Action,147438.0,falling,1
Frostpunk 2,76.01,69.61,13.92,80.0,20.0,Simulation,44604.0,falling,1
Monster Hunter World,87.73,26.72,21.38,20.0,24.0,Simulation,127043.0,stable,1
Lethal Company,54.41,36.56,36.56,0.0,0.0,Strategy,156945.0,growing,0
Sons of the Forest,51.62,57.59,57.59,0.0,0.0,Co-op,97216.0,growing,0
Chivalry 2,92.07,21.74,21.74,0.0,0.0,Racing,118366.0,falling,0
Resident Evil 4 Remake,55.6,33.1,33.1,0.0,0.0,RPG,176316.0,stable,0
Apex Legends,93.09,21.89,17.51,20.0,9.0,Sports,62509.0,stable,1
Lies of P,48.02,24.81,4.96,80.0,27.0,Strategy,82893.0,falling,1
Dragon Ball FighterZ,40.29,3.98,3.98,0.0,0.0,Fighting,170623.0,falling,0
Slime Rancher,60.04,44.3,44.3,0.0,0.0,Metroidvania,162893.0,falling,0
NBA 2K25,57.69,75.15,52.61,30.0,26.0,Fighting,71516.0,stable,1
Dead Cells,82.83,31.58,15.79,50.0,25.0,Survival,68263.0,stable,1
Terraria,63.57,65.82,65.82,0.0,0.0,Strategy,37578.0,stable,0
It Takes Two,83.71,50.55,25.27,50.0,26.0,Simulation,120137.0,growing,1
Doom Eternal,44.74,10.52,10.52,0.0,0.0,Puzzle,90611.0,growing,0
Rainbow Six Siege,70.27,55.1,33.06,40.0,19.0,Action,37224.0,stable,1
Among Us,59.68,56.34,56.34,0.0,0.0,Horror,15006.0,growing,0
Slime Rancher,68.87,9.22,2.77,70.0,24.0,Strategy,194855.0,falling,1
UltraKill,44.24,16.86,16.86,0.0,0.0,Metroidvania,62871.0,growing,0
Don't Starve Together,95.45,51.2,25.6,50.0,5.0,Sports,83399.0,growing,1
Little Nightmares,64.43,16.39,16.39,0.0,0.0,Horror,20541.0,falling,0
Tekken 7,64.39,59.2,59.2,0.0,0.0,Simulation,112373.0,growing,0
Stardew Valley,55.09,29.74,29.74,0.0,0.0,Horror,140564.0,growing,0
Path of Exile 2,56.0,57.66,57.66,0.0,0.0,Action,29239.0,stable,0
RimWorld,57.57,5.87,5.87,0.0,0.0,Shooter,128840.0,stable,0
Among Us,47.97,33.35,23.34,30.0,5.0,Indie,108948.0,falling,1
Grand Theft Auto V,90.43,63.4,63.4,0.0,0.0,Horror,83983.0,growing,0
Rust,81.71,77.18,77.18,0.0,0.0,Roguelike,78227.0,falling,0
Team Fortress 2,50.77,10.91,10.91,0.0,0.0,RPG,126511.0,falling,0
Factorio,78.69,64.23,38.54,40.0,12.0,Indie,192465.0,stable,1
Palworld,59.52,27.69,19.38,30.0,16.0,Puzzle,187518.0,stable,1
Planet Zoo,72.83,14.93,14.93,0.0,0.0,Puzzle,167932.0,falling,0
Assassin’s Creed Odyssey,52.72,75.04,75.04,0.0,0.0,RPG,20608.0,growing,0
Halo Infinite,46.82,75.21,30.08,60.0,20.0,Horror,4389.0,falling,1
A Way Out,82.64,33.34,26.67,20.0,12.0,Action,137197.0,stable,1
Left 4 Dead 2,52.54,66.22,13.24,80.0,20.0,Fighting,174731.0,growing,1
Chivalry 2,87.73,9.38,8.44,10.0,19.0,RPG,10814.0,stable,1
Halo Infinite,67.28,61.12,61.12,0.0,0.0,Strategy,6739.0,stable,0
Hades,84.73,24.56,22.1,10.0,14.0,Survival,121408.0,stable,1
Seven Days to Die,78.2,2.76,2.76,0.0,0.0,Adventure,35568.0,stable,0
Halo Master Chief Collection,74.91,69.01,34.51,50.0,10.0,RPG,35139.0,falling,1
Assassin’s Creed Valhalla,77.98,78.71,55.1,30.0,9.0,Roguelike,184606.0,stable,1
Resident Evil 4 Remake,50.08,1.78,1.42,20.0,28.0,Co-op,167628.0,falling,1
Terraria,46.77,56.46,56.46,0.0,0.0,Simulation,165110.0,stable,0
Assassin’s Creed Valhalla,80.66,58.76,11.75,80.0,10.0,Co-op,196662.0,falling,1
Escape from Tarkov,44.32,39.92,39.92,0.0,0.0,Survival,134197.0,growing,0
Euro Truck Simulator 2,49.15,66.56,46.59,30.0,25.0,Racing,161442.0,stable,1
Hades,68.97,2.43,2.19,10.0,9.0,Roguelike,53100.0,stable,1
Final Fantasy XV,67.05,34.93,6.99,80.0,20.0,Indie,191163.0,falling,1
Dragon Ball Xenoverse 2,83.4,16.22,9.73,40.0,24.0,Sports,2921.0,falling,1
Resident Evil 4 Remake,64.93,76.77,53.74,30.0,6.0,Puzzle,1966.0,falling,1
Lost Ark,80.11,60.2,30.1,50.0,13.0,Horror,151276.0,falling,1
Halo Master Chief Collection,69.12,22.74,22.74,0.0,0.0,Horror,100599.0,stable,0
Tekken 7,82.71,12.94,12.94,0.0,0.0,Roguelike,199373.0,falling,0
Warframe,44.15,3.57,3.57,0.0,0.0,Shooter,14053.0,falling,0
Dark Souls Remastered,86.72,11.95,11.95,0.0,0.0,Adventure,169349.0,stable,0
Path of Exile,86.39,40.56,12.17,70.0,17.0,Metroidvania,29385.0,stable,1
Apex Legends,55.54,8.13,8.13,0.0,0.0,Roguelike,109503.0,stable,0
Alan Wake 2,92.17,76.53,68.88,10.0,12.0,Metroidvania,22950.0,stable,1
Resident Evil Village,58.11,29.21,29.21,0.0,0.0,Metroidvania,182767.0,growing,0
For Honor,94.69,56.41,11.28,80.0,19.0,Strategy,36170.0,stable,1
Terraria,54.48,1.18,1.18,0.0,0.0,Racing,28359.0,growing,0
Devil May Cry 5,56.91,9.77,9.77,0.0,0.0,Adventure,76141.0,falling,0
Tekken 8,49.81,10.43,3.13,70.0,16.0,Action,123244.0,growing,1
Monster Hunter World,97.82,8.0,5.6,30.0,3.0,Simulation,132965.0,stable,1
ARK: Survival Evolved,53.23,72.32,72.32,0.0,0.0,RPG,61067.0,stable,0
Hades,97.77,49.35,19.74,60.0,29.0,Puzzle,6796.0,growing,1
The Witcher 3,60.32,1.13,0.56,50.0,7.0,Horror,38013.0,stable,1
Dead Cells,46.15,74.15,74.15,0.0,0.0,Simulation,171268.0,falling,0
The Witcher 3,88.83,58.37,23.35,60.0,24.0,Action,152333.0,falling,1
NBA 2K25,87.69,15.0,15.0,0.0,0.0,Puzzle,175338.0,falling,0
Rust,77.76,57.64,57.64,0.0,0.0,Action,44798.0,stable,0
Doom Eternal,41.49,6.67,4.67,30.0,21.0,Shooter,96068.0,growing,1
Limbo,87.79,66.58,26.63,60.0,19.0,Co-op,34955.0,stable,1
Resident Evil 4 Remake,95.56,31.72,15.86,50.0,21.0,Co-op,144515.0,growing,1
Ori and the Will of the Wisps,78.09,73.14,36.57,50.0,6.0,Racing,30188.0,stable,1
Risk of Rain 2,60.29,65.02,65.02,0.0,0.0,Co-op,29710.0,falling,0
For Honor,83.55,75.11,67.6,10.0,5.0,Indie,151723.0,stable,1
American Truck Simulator,73.0,12.68,12.68,0.0,0.0,Strategy,122182.0,falling,0
Hollow Knight,51.78,79.32,79.32,0.0,0.0,Co-op,191929.0,falling,0
Slime Rancher 2,55.93,25.69,7.71,70.0,25.0,Co-op,150516.0,growing,1
Palworld,80.0,29.58,29.58,0.0,0.0,Puzzle,146098.0,falling,0
Sea of Thieves,84.83,27.51,27.51,0.0,0.0,Fighting,176261.0,stable,0
FIFA 24,85.72,62.82,62.82,0.0,0.0,Sports,196104.0,falling,0
Payday 2,48.59,23.31,23.31,0.0,0.0,RPG,134536.0,growing,0
Factorio,86.49,24.3,24.3,0.0,0.0,Metroidvania,165272.0,growing,0
Dark Souls III,72.85,68.43,47.9,30.0,8.0,Indie,141895.0,falling,1
Hotline Miami,50.79,60.08,60.08,0.0,0.0,Shooter,119808.0,stable,0
Lost Ark,76.57,63.2,12.64,80.0,11.0,Adventure,75170.0,stable,1
Frostpunk,63.6,63.82,25.53,60.0,29.0,Roguelike,118056.0,stable,1
Path of Exile,95.2,76.93,30.77,60.0,26.0,Indie,73518.0,growing,1
A Way Out,94.18,78.46,78.46,0.0,0.0,Action,45754.0,growing,0
Planet Zoo,85.29,29.8,20.86,30.0,17.0,Indie,170838.0,growing,1
Dota 2,86.5,39.93,35.94,10.0,19.0,Puzzle,74828.0,growing,1
Among Us,68.32,1.47,1.47,0.0,0.0,Sports,75265.0,growing,0
Warframe,72.49,31.18,31.18,0.0,0.0,Fighting,199206.0,falling,0
Alan Wake 2,86.6,68.78,34.39,50.0,6.0,Puzzle,10006.0,growing,1
Planet Coaster,94.78,36.94,22.16,40.0,30.0,Indie,79247.0,stable,1
Tekken 8,89.85,78.68,62.94,20.0,1.0,Co-op,128463.0,stable,1
Slime Rancher 2,80.04,74.06,74.06,0.0,0.0,Strategy,115755.0,stable,0
Dark Souls III,85.61,31.15,31.15,0.0,0.0,Metroidvania,51058.0,falling,0
Far Cry 5,86.48,4.64,1.39,70.0,23.0,Co-op,1904.0,stable,1
Resident Evil 4 Remake,46.53,38.85,34.97,10.0,20.0,Shooter,10829.0,falling,1
Frostpunk 2,41.17,79.45,79.45,0.0,0.0,Action,41244.0,falling,0
Baldur's Gate 3,58.27,75.9,75.9,0.0,0.0,Fighting,35668.0,stable,0
Cyberpunk 2077,90.35,8.14,1.63,80.0,1.0,RPG,88597.0,stable,1
Lethal Company,48.33,62.14,62.14,0.0,0.0,Adventure,37524.0,stable,0
Hotline Miami,59.81,59.85,59.85,0.0,0.0,Shooter,42699.0,growing,0
Path of Exile,61.08,11.49,9.19,20.0,10.0,Indie,171574.0,stable,1
Palworld,42.58,72.08,72.08,0.0,0.0,Shooter,63389.0,growing,0
Elden Ring,51.2,72.55,50.78,30.0,11.0,Co-op,132787.0,stable,1
Bloodstained: Ritual of the Night,72.28,14.55,8.73,40.0,30.0,Adventure,93953.0,stable,1
Limbo,55.18,60.23,60.23,0.0,0.0,Puzzle,100761.0,falling,0
Halo Infinite,88.06,58.89,58.89,0.0,0.0,Horror,177030.0,stable,0
Hades,40.74,65.67,65.67,0.0,0.0,Indie,83546.0,stable,0
Payday 3,71.32,25.26,10.1,60.0,29.0,Horror,32848.0,falling,1
Black Desert Online,62.89,79.47,79.47,0.0,0.0,Adventure,84958.0,stable,0
Palworld,49.07,1.04,0.62,40.0,12.0,Puzzle,184884.0,falling,1
The Callisto Protocol,50.22,70.94,70.94,0.0,0.0,Sports,25421.0,stable,0
Ori and the Will of the Wisps,67.66,36.47,36.47,0.0,0.0,Metroidvania,158798.0,growing,0
Dragon Ball Xenoverse 2,55.52,6.61,6.61,0.0,0.0,Sports,191362.0,falling,0
Bloodstained: Ritual of the Night,53.76,56.29,33.77,40.0,3.0,Action,45510.0,falling,1
Tekken 8,53.55,74.65,37.33,50.0,4.0,Adventure,85885.0,growing,1
RimWorld,89.47,30.97,15.48,50.0,3.0,Survival,16458.0,stable,1
Hotline Miami,55.59,74.18,74.18,0.0,0.0,Sports,145139.0,growing,0
Monster Hunter Rise,51.18,18.08,18.08,0.0,0.0,Roguelike,25032.0,falling,0
Stardew Valley,63.13,63.8,12.76,80.0,17.0,RPG,124976.0,falling,1
Payday 3,44.53,50.47,50.47,0.0,0.0,Sports,31703.0,stable,0
Outlast,64.42,51.62,51.62,0.0,0.0,Fighting,45663.0,falling,0
Fallout 4,56.25,50.72,50.72,0.0,0.0,Roguelike,23133.0,stable,0
Tekken 8,43.24,52.87,26.43,50.0,12.0,Shooter,71756.0,stable,1
Escape from Tarkov,91.22,34.28,17.14,50.0,27.0,Racing,14251.0,growing,1
Cyber Hook,55.57,15.99,15.99,0.0,0.0,Roguelike,194749.0,falling,0
PUBG,64.74,24.72,24.72,0.0,0.0,Simulation,91371.0,falling,0
Lies of P,91.03,26.98,8.09,70.0,25.0,Indie,146151.0,stable,1
Ori and the Blind Forest,65.69,1.1,1.1,0.0,0.0,Simulation,10586.0,stable,0
Planet Coaster,88.2,33.45,33.45,0.0,0.0,Horror,41780.0,falling,0
Limbo,68.56,64.33,64.33,0.0,0.0,Metroidvania,24570.0,falling,0
Black Desert Online,69.8,22.68,22.68,0.0,0.0,Roguelike,199869.0,growing,0
Forza Horizon 5,91.77,26.25,7.88,70.0,2.0,Roguelike,170777.0,growing,1
Final Fantasy XV,40.17,65.62,45.93,30.0,22.0,Roguelike,5558.0,stable,1
Team Fortress 2,66.43,27.18,27.18,0.0,0.0,Adventure,90232.0,growing,0
Goat Simulator 3,61.99,78.98,15.8,80.0,11.0,Action,84712.0,falling,1
Apex Legends,51.09,65.52,65.52,0.0,0.0,Horror,23662.0,stable,0
Mortal Kombat 11,50.92,16.88,16.88,0.0,0.0,RPG,180852.0,stable,0
The Elder Scrolls V: Skyrim,40.74,7.81,5.47,30.0,17.0,RPG,7442.0,stable,1
Hollow Knight,79.0,54.15,54.15,0.0,0.0,Co-op,104855.0,falling,0
Rainbow Six Siege,46.04,24.69,17.28,30.0,6.0,Roguelike,58375.0,growing,1
Inside,84.36,4.89,4.4,10.0,19.0,Puzzle,110254.0,growing,1
Sons of the Forest,84.99,78.78,78.78,0.0,0.0,Racing,78757.0,stable,0
ARK: Survival Evolved,90.78,58.15,58.15,0.0,0.0,Shooter,45993.0,growing,0
Starfield,69.85,37.93,37.93,0.0,0.0,Co-op,148702.0,falling,0
Sea of Thieves,89.24,20.55,20.55,0.0,0.0,Sports,34765.0,falling,0
Don't Starve Together,45.41,12.58,2.52,80.0,30.0,Racing,115604.0,stable,1
Frostpunk 2,81.7,70.29,42.17,40.0,29.0,Adventure,50755.0,stable,1
Monster Hunter World,45.98,56.22,56.22,0.0,0.0,Simulation,5058.0,growing,0
Banished,72.83,30.66,30.66,0.0,0.0,Action,145069.0,falling,0
Lethal Company,45.37,57.44,57.44,0.0,0.0,Action,168769.0,falling,0
Planet Zoo,74.38,61.08,42.76,30.0,20.0,RPG,162161.0,growing,1
Assassin’s Creed Valhalla,74.46,22.9,22.9,0.0,0.0,Roguelike,168846.0,growing,0
Starfield,64.29,53.92,32.35,40.0,11.0,Indie,159974.0,stable,1
Portal 2,72.56,36.96,36.96,0.0,0.0,Fighting,25679.0,stable,0
Dota 2,61.12,53.89,53.89,0.0,0.0,Puzzle,87286.0,stable,0
Phasmophobia,62.01,61.49,55.34,10.0,24.0,Indie,112042.0,falling,1
CyberConnect,69.98,39.78,39.78,0.0,0.0,Fighting,47020.0,growing,0
Ori and the Blind Forest,95.46,21.6,15.12,30.0,23.0,Simulation,171801.0,falling,1
Outlast 2,62.86,44.36,44.36,0.0,0.0,Indie,144229.0,falling,0
Frostpunk 2,52.42,28.51,11.4,60.0,27.0,Co-op,143634.0,growing,1
Warframe,70.97,51.43,25.71,50.0,28.0,Simulation,179900.0,growing,1
The Callisto Protocol,70.91,23.1,23.1,0.0,0.0,Metroidvania,167494.0,growing,0
No Man's Sky,81.79,65.31,52.25,20.0,20.0,Strategy,34232.0,stable,1
Mount & Blade II: Bannerlord,54.49,1.16,0.46,60.0,20.0,Puzzle,82119.0,falling,1
Assassin’s Creed Valhalla,89.52,58.55,52.7,10.0,11.0,Sports,49457.0,stable,1
Bloodstained: Ritual of the Night,85.12,50.23,25.11,50.0,6.0,Horror,17418.0,falling,1
PUBG,62.83,42.64,42.64,0.0,0.0,Horror,36960.0,stable,0
Escape from Tarkov,68.74,27.88,13.94,50.0,4.0,Adventure,44808.0,falling,1
Mount & Blade II: Bannerlord,49.72,24.85,24.85,0.0,0.0,Horror,54012.0,stable,0
Apex Legends,51.91,42.25,42.25,0.0,0.0,Metroidvania,65989.0,growing,0
Planet Zoo,46.34,79.14,15.83,80.0,17.0,Horror,65427.0,stable,1
Devil May Cry 5,74.35,79.76,55.83,30.0,29.0,Racing,140895.0,falling,1
Slime Rancher,87.37,76.03,76.03,0.0,0.0,Sports,30770.0,falling,0
Tekken 7,68.22,60.09,60.09,0.0,0.0,Shooter,133090.0,falling,0
Valheim,78.7,30.33,18.2,40.0,2.0,Fighting,138848.0,growing,1
Apex Legends,78.59,25.13,25.13,0.0,0.0,Fighting,198870.0,stable,0
Counter-Strike 2,44.55,75.17,75.17,0.0,0.0,Co-op,190033.0,growing,0
A Way Out,74.96,50.0,50.0,0.0,0.0,Shooter,137349.0,falling,0
ARK: Survival Evolved,90.86,75.32,75.32,0.0,0.0,Horror,170851.0,growing,0
Slime Rancher,42.05,4.46,1.34,70.0,25.0,Sports,73845.0,growing,1
Cities: Skylines,90.28,48.77,29.26,40.0,1.0,Sports,73338.0,stable,1
Mount & Blade II: Bannerlord,80.73,19.98,9.99,50.0,8.0,Co-op,17503.0,stable,1
